Artist,Birth,Death,Age,Alive?,Art Title,DoC,Currency,price,low_estimate,high_estimate,Sold,Est Accuracy,Dimentions,close date,Auction Title,closeMonth,closeYear,popularity
andy warhol ,1928,1987,59,0,Knives,1981,USD,4000,3000,5000,1,0,(10.8 x 8.9 cm.),21,First Open | Post-War & Contemporary Art,7,21,"3,310,000"
arman ,1928,2005,77,0,Cube Violon Brisé,0,USD,10500,10500,15750,1,-1,(9 7/8 x 9 7/8 x 9 7/8 in.),6,ART CONTEMPORAIN - VENTE DU JOUR,12,17,"3,260,000"
egon schiele ,1890,1918,28,0,Mann auf dem Bauch liegend,1910,USD,1171562.5,375000,500000,1,1,(48 x 31 cm.),7,IMPRESSIONIST/MODERN WORKS ON PAPER,2,13,"141,000"
lucio fontana ,1899,1968,69,0,"Concetto spaziale, Attese",1967,USD,840000,682500,892500,1,0,0,3,POST WAR & CONTEMPORARY ART,12,21,"99,800"
andré masson ,1896,1987,91,0,Le rêve d'une nonne,1973,USD,7031.25,6250,8750,1,0,(45.7 x 63.5 cm.),8,IMPRESSIONIST/MODERN,2,13,"2,390,000"
guy taplin ,1938,0,84,1,Preening swan,0,USD,3125,2500,3750,1,0,(40.6 x 109.2 x 30.5 cm.),27,SPORTING AND WILDLIFE ART,6,12,"62,200"
antonio saura ,1930,1998,68,0,Brigitte Bardot,0,USD,203175,126000,189000,1,1,(51 1/8 x 38 ¼ in.),4,ART CONTEMPORAIN VENTE DU SOIR,6,15,"208,000"
eugène zak ,1884,1926,42,0,Les marionnettes,0,USD,109375,62500,87500,1,1,(60.7 x 73.5 cm.),28,IMPRESSIONIST AND MODERN ART DAY SALE,2,19,"2,990,000"
gerhard richter ,1932,0,90,1,Loo Paper,1994,USD,34375,25000,37500,1,0,(71.5 x 66cm.),12,POST WAR AND CONTEMPORARY ART DAY AUCTION,10,12,"67,100"
cyrus edwin dallin ,1861,1944,83,0,On the War Path,1914,USD,32500,30000,50000,1,0,0,7,American Art Online,8,20,"14,500"
wilfrid gabriel de glehn,1870,1951,81,0,"The lagoon, Venice",0,USD,2343.75,2500,3750,1,-1,(39.4 x 49.6 cm.),3,"VICTORIAN, PRE-RAPHAELITE & BRITISH IMPRESSIONIST ART; MARITIME ART; SPORTING & WILDLIFE ART",12,15,"2,450"
alexander calder ,1898,1976,78,0,Untitled,1957,USD,2527500,2500000,4500000,1,0,(127 x 221 x 142.2 cm.),15,POST-WAR & CONTEMPORARY ART EVENING SALE,11,16,"170,000"
thomas hart benton ,1889,1975,86,0,Ozark Autumn,0,USD,4869000,2000000,3000000,1,1,(52.7 x 81.3 cm.),21,AMERICAN ART,5,15,"174,000"
pablo picasso ,1881,1973,92,0,Le dormeur,1956,USD,26250,26250,36750,1,-1,0,17,MODERN ART,6,14,"470,000"
jean dubuffet ,1901,1985,84,0,Marche en campagne (Webel 1171),0,USD,5937.5,3750,6250,1,0,0,27,FIRST OPEN | EDITIONS,10,16,"43,000"
victor brauner ,1903,1966,63,0,Personnage à la baignoire,0,USD,9375,7500,10000,1,0,(25.5 x 17.2 cm.),25,IMPRESSIONIST/MODERN WORKS ON PAPER,6,14,"128,000"
allen jones ,1937,0,85,1,Spice (Lloyd 52),0,USD,2812.5,1000,1500,1,1,0,19,PRINTS & MULTIPLES,9,13,"116,000"
rembrandt harmensz. van rijn ,1606,1669,63,0,The Flight into Egypt: crossing a Brook,0,USD,14062.5,10000,15000,1,0,0,29,PRINTS & MULTIPLES,3,17,"51,300"
rené magritte ,1898,1967,69,0,Sans titre,0,USD,3750,5000,7500,1,-1,(21 x 16.2 cm.),28,IMPRESSIONIST AND MODERN WORKS ON PAPER,2,19,"541,000"
sigmar polke ,1941,2010,69,0,Untitled,1989,USD,70312.5,62500,87500,1,0,(101 x 72.5cm.),29,FIRST OPEN | POST-WAR AND CONTEMPORARY ART | LONDON,9,16,"39,300"
kees van bohemen ,1928,1986,58,0,Ochtendwandeling,1976,USD,21000,8400,12600,1,1,0,1,MODERN ART,12,15,"47,900"
claude monet ,1840,1926,86,0,L'église à Vétheuil,1881,USD,3132500,1500000,2500000,1,1,(59.7 x 73.3 cm.),11,IMPRESSIONIST AND MODERN ART EVENING SALE INCLUDING PROPERTY FROM THE COLLECTION OF HERBERT AND ADELE KLAPPER,11,18,"307,000"
michael ayrton ,1921,1975,54,0,Man at anvil,0,USD,8593.75,3750,6250,1,1,(21.6 x 29.2 cm.),14,MODERN BRITISH AND IRISH ART,12,12,"65,200"
louis david saugy ,1871,1953,82,0,"Montée à l'alpage, 1945",0,USD,18360,15300,25500,1,0,(Lichtmass),30,SWISS ART,5,16,"13,800"
niki de saint phalle ,1930,2002,72,0,Sagittarius vase,0,USD,27562.5,12600,18900,1,1,(23¼ x 27½ x 6¼ in.),26,"DAGNY ET JAN RUNNQVIST, GALERIE BONNIER, UN DEMI-SIÈCLE DE PASSION ET D'ENGAGEMENTS ARTISTIQUES",10,13,"243,000"
gerhard richter ,1932,0,90,1,25.3.08,2008,USD,70312.5,25000,37500,1,1,(10 x 15cm.),12,POST-WAR AND CONTEMPORARY ART DAY AUCTION,2,15,"67,100"
marcel duchamp ,1887,1968,81,0,Tutu,1909,USD,68750,20000,30000,1,1,(35.2 x 25 cm.),17,IMPRESSIONIST & MODERN ART WORKS ON PAPER SALE,11,16,"85,000"
mark grotjahn ,1968,0,54,1,Untitled (Full Color Butterfly Up the Middle White Sides 748),2008,USD,612500,500000,700000,1,0,(196.9 x 121.3 cm.),16,POST-WAR & CONTEMPORARY ART AFTERNOON SESSION,11,17,"60,700"
edward william cooke,1811,1880,69,0,"View across the Lagoon, Venice, sunset",0,USD,28125,25000,37500,1,0,(29.8 x 43.8 cm.),13,VICTORIAN & BRITISH IMPRESSIONIST ART,12,12,"8,820,000"
pablo picasso ,1881,1973,92,0,Sans titre,0,USD,21875,12500,18750,1,1,(21.1 x 26.8 cm.),5,IMPRESSIONIST/MODERN WORKS ON PAPER,2,14,"470,000"
henry taylor ,1958,0,64,1,Untitled,2004,USD,3125,2500,3750,1,0,(8.8 x 28.7 x 2.4cm.),19,First Open | Online,9,19,"30,300"
georges hugnet ,1906,1974,68,0,Homme qui marche,1940,USD,1837.5,2100,3150,1,-1,0,1,UN UNIVERS SURRÉALISTE: SUCCESSION MYRTILLE ET GEORGES HUGNET,12,15,"13,400"
stephan balkenhol ,1957,0,65,1,Man with Boat,1995,USD,62500,50000,70000,1,0,(233.7 x 69.9 x 48.3 cm.),18,First Open | Online,12,19,"68,400"
damien hirst ,1965,0,57,1,Mickey,0,USD,50000,18750,25000,1,1,0,17,PRINTS & MULTIPLES: FIRST IMPRESSION,9,15,"106,000"
albert marquet ,1875,1947,72,0,Le Grammont vu de Lausanne,1936,USD,37500,25000,37500,1,1,(21 x 30 cm.),28,IMPRESSIONIST AND MODERN ART DAY SALE,6,17,"880,000"
paul klee ,1879,1940,61,0,Ausblick aus e. Wald,1914,USD,225000,200000,300000,1,0,(17.6 x 20.3 cm.),16,IMPRESSIONIST AND MODERN ART WORKS ON PAPER,5,18,"242,000"
arnulf rainer ,1929,0,93,1,Rote Hand (Red Hand),1985,USD,118125,73500,105000,1,1,0,25,20th/21st Century: Amsterdam,11,21,"111,000"
sir alfred james munnings. ,1878,1959,81,0,"Looking across the river Barle, Withypool, Devon",0,USD,53125,6250,10000,1,1,(50.5 x 60.9 cm.),12,"VICTORIAN, PRE RAPHAELITE & BRITISH IMPRESSIONIST ART",3,15,"7,970"
maria spartali stillman ,1844,1927,83,0,"A lady with peacocks in a garden, an Italianate landscape beyond",0,USD,13281.25,6250,8750,1,1,(42.3 x 43.2 cm.),17,"VICTORIAN, PRE-RAPHAELITE & BRITISH IMPRESSIONIST ART",6,14,"5,510"
kurt schwitters ,1887,1948,61,0,Ohne titel (Kork-Butterbrot),1937,USD,200000,70000,100000,1,1,(36.6 x 33.3 cm.),14,IMPRESSIONIST AND MODERN ART WORKS ON PAPER SALE,11,17,"41,300"
pablo picasso ,1881,1973,92,0,Oiseau sur la branche (A.R. 175),1952,USD,4375,1250,2500,1,1,0,20,Picasso Ceramics Online,6,19,"470,000"
giulio paolini ,1940,0,82,1,Untitled,1992,USD,4987.5,4200,6300,1,0,0,21,POST-WAR AND CONTEMPORARY ART,4,16,"31,400"
guy bardone ,1927,0,95,1,Plage de la Costa Brava; and a companion painting,0,USD,4375,2000,3000,1,1,(54.6 x 31.8 cm.),28,INTERIORS,8,13,"43,400"
pablo picasso ,1881,1973,92,0,Autoportrait,1955,USD,676200,210000,315000,1,1,0,20,COLLECTION GERARD VALKIER : A LIFETIME JOURNEY WITH ART.,10,21,"470,000"
eddie martinez ,1977,0,45,1,Untitled,2007,USD,23750,8000,12000,1,1,(36.2 x 39.1 cm.),18,First Open,8,20,"1,240,000"
max beckmann ,1884,1950,66,0,Tanzendes Paar,0,USD,4687.5,3750,6250,1,0,0,20,PRINTS AND MULTIPLES,9,18,"747,000"
marc chagall ,1887,1985,98,0,L'Arbre,1956,USD,509000,400000,600000,1,0,(102 x 73.4 cm.),6,IMPRESSIONIST & MODERN WORKS ON PAPER SALE,11,13,"269,000"
andré derain ,1880,1954,74,0,Bords de rivière,0,USD,4715000,4000000,6000000,1,0,(38.4 x 46 cm.),11,IMPRESSIONIST AND MODERN ART EVENING SALE,11,19,"116,000"
joan mitchell ,1925,1992,67,0,Untitled,1957,USD,9087500,7000000,9000000,1,1,(206.3 x 275.6 cm.),17,POST-WAR AND CONTEMPORARY ART EVENING SALE,5,18,"123,000"
andy warhol ,1928,1987,59,0,Jackie,1964,USD,799500,800000,1200000,1,-1,(50.5 x 40.6 cm.),16,POST-WAR & CONTEMPORARY ART MORNING SALE,11,16,"3,310,000"
henri matisse ,1869,1954,85,0,Tête de femme au chapeau,0,USD,62500,50000,70000,1,0,(33.5 x 25.6 cm.),7,IMPRESSIONIST & MODERN WORKS ON PAPER INCLUDING PROPERTY FROM THE ESTATE OF EDGAR M. BRONFMAN,5,14,"259,000"
maurice braun ,1877,1941,64,0,"Pond at Old Lyme, Connecticut",0,USD,20000,20000,30000,1,-1,(40.6 x 50.8 cm.),25,AMERICAN ART,3,15,"368,000"
henry thomas alken ,1785,1851,66,0,Get out of the way Sir; This fence is like small pox; Clearing the ditch; and Across the fields,0,USD,1093.75,1000,1500,1,0,(20.4 x 25.9 cm.),9,SPORTING & WILDLIFE ART,7,14,"45,600"
paul jacoulet ,1902,1960,58,0,Le Pacifique mysterieux. Mers du Sud (1951),0,USD,3750,3750,6250,1,-1,(47.6 x 36.5cm.),29,TOPOGRAPHICAL PICTURES INCLUDING SELECTIONS FROM THE KELTON COLLECTION,10,19,"14,200"
louis h. grimshaw ,1870,1943,73,0,"The Mansion House, London",0,USD,96875,50000,75000,1,1,(29.5 x 44.4 cm.),14,"VICTORIAN, PRE-RAPHAELITE AND BRITISH IMPRESSIONIST ART",12,16,"31,400"
pablo picasso ,1881,1973,92,0,Inès assise,0,USD,598500,375000,625000,1,0,(31.8 x 23.7 cm.),1,20TH/21ST CENTURY: LONDON EVENING SALE,3,22,"470,000"
pablo picasso ,1881,1973,92,0,"Couple posant pour un peintre, from: Séries 347",0,USD,7812.5,1875,2500,1,1,0,28,Prints & Multiples,9,21,"470,000"
yayoi kusama ,1929,0,93,1,Pumpkin,1980,USD,30000,6000,8000,1,1,(24.1 x 27.3 cm.),8,FIRST OPEN,3,13,"111,000"
fernand léger ,1881,1955,74,0,Nid d'oiseaux avec panneau bleu,1943,USD,28125,25000,37500,1,0,(24 x 18 cm.),5,IMPRESSIONIST/MODERN WORKS ON PAPER,2,14,"298,000"
tamuna sirbiladze ,1971,2016,45,0,Pickled Ass (from Map 3),2006,USD,2656.25,3750,6250,1,-1,(200 x 200cm.),19,First Open | Online,9,2019,"4,660"
archibald thorburn ,1860,1935,75,0,Grouse shooting,0,USD,2500,1875,2500,1,1,(17.8 x 26.7 cm.),27,SPORTING & WILDLIFE ART,11,13,"26,400"
henri matisse ,1869,1954,85,0,Catherinette,0,USD,15000,6000,8000,1,1,(370 x 285 mm.),22,Matisse on Paper: Prints & Drawings from the Estate of Jacquelyn Miller Matisse,10,20,"260,000"
rob van koningsbruggen ,1948,0,74,1,Untitled,1974,USD,13125,8400,12600,1,1,0,21,POST-WAR AND CONTEMPORARY ART,4,16,"7,230"
tamuna sirbiladze ,1971,2008,37,0,Untitled (From Map 2),2007,USD,3125,2500,3750,1,0,(189.6 x 200cm.),7,First Open: Post-War and Contemporary Art Online,7,21,"4,660"
heinz mack ,1931,0,91,1,Dynamische Struktur (Dynamic Structure),1962,USD,234675,210000,315000,1,0,0,27,POST-WAR & CONTEMPORARY ART,11,18,"750,000"
antonius höckelmann ,1937,2000,63,0,Sans titre,1961,USD,3937.5,525,735,1,1,0,20,COLLECTION GERARD VALKIER : A LIFETIME JOURNEY WITH ART.,10,21,"14,000"
pablo picasso ,1881,1973,92,0,Femme se coiffant,0,USD,8448437.5,3125000,4375000,1,1,(81.2 x 65.3 cm.),27,IMPRESSIONIST AND MODERN ART EVENING SALE,2,18,"470,000"
robert edward morrison ,1852,1925,73,0,Reverie,0,USD,8593.75,2500,5000,1,1,(30.5 x 40.7 cm.),8,"VICTORIAN, PRE RAPHAELITE & BRITISH IMPRESSIONIST ART, MARITIME ART, SPORTING & WILDLIFE ART",7,15,"11,600,000"
bridget riley ,1931,0,91,1,Sequence Study; No 1,1975,USD,72100,40000,60000,1,1,(88.9 x 35.5 cm.),15,POST-WAR & CONTEMPORARY ART AFTERNOON SESSION,11,12,"25,700"
edward burra ,1905,1976,71,0,O'Neill (The Barman),1932,USD,65625,31250,43750,1,1,(48.3 x 38.1 cm.),21,MODERN BRITISH AND IRISH ART DAY SALE,10,21,"36,400"
henri martin ,1860,1943,83,0,Jeune femme nue,0,USD,68750,70000,100000,1,-1,(131.2 x 80.8 cm.),16,IMPRESSIONIST AND MODERN ART DAY SALE,5,18,"26,100"
darren woodhead ,1971,0,51,1,Two ptarmigan; peregrine falcon; ptarmigan,0,USD,4062.5,1500,2250,1,1,(38.5 x 57.2 cm.),18,"The Astor Collection from Tillypronie, Aberdeenshire",12,17,"22,900"
raymond pettibon ,1957,0,65,1,Untitled,0,USD,6250,6000,8000,1,0,(35.6 x 27.9 cm.),15,First Open | Online,12,20,"43,700"
alighiero boetti ,1940,1994,54,0,Cinepresa e aste da microfono,0,USD,83475,10500,15750,1,1,(39 3/8 x 27 ½ in.),10,ART CONTEMPORAIN VENTE DU JOUR,6,16,"51,100"
jasper johns ,1930,0,92,1,Flags I (ULAE 128),1973,USD,989000,250000,350000,1,1,(670 x 845 mm.),13,POST-WAR AND CONTEMPORARY MORNING SESSION,11,13,"6,200,000"
horace fisher ,1861,1928,67,0,The orange sellers,0,USD,5625,5000,7500,1,0,(121.9 x 74.9 cm.),12,"VICTORIAN, PRE RAPHAELITE & BRITISH IMPRESSIONIST ART",3,15,"54,600"
john cyril harrison ,1898,1985,87,0,A golden eagle in flight above a rocky landscape,0,USD,5000,1000,1500,1,1,(46.8 x 33 cm.),18,"The Astor Collection from Tillypronie, Aberdeenshire",12,17,"27,400"
andy warhol ,1928,1987,59,0,Diana Ross and Barry Diller,1983,USD,4032,4000,6000,1,0,(25.4 x 20.3 cm.),31,The Andy Warhol Diaries,3,22,"3,310,000"
antonio maria zanetti i,1680,1757,77,0,"The Interior of a Temple, or: The Pagans assemble around the Statue of Jupiter to worship",0,USD,3125,3750,5000,1,-1,(B. 40),15,Old Master Prints,7,20,"44,700,000"
pablo picasso ,1881,1973,92,0,Françoise en soleil,0,USD,18750,18000,25000,1,0,(654 x 502 mm.),20,PRINTS AND MULTIPLES,4,18,"470,000"
peter kuhfeld ,1952,0,70,1,"Enfilade towards the Grand Canal, Palazzo Barbaro",0,USD,5468.75,1250,2500,1,1,(53.4 x 42 cm.),19,"CHIEVELEY HOUSE, BERKSHIRE AND FIVE PRIVATE COLLECTIONS",3,20,"9,880"
rene auberjonois ,1872,1957,85,0,"Lens, 1902",0,USD,14688,15300,20400,1,-1,0,5,SWISS ART,12,16,"130,000"
sam francis ,1923,1994,71,0,Leo Rising (SFE 078),0,USD,6250,5000,7000,1,0,(908 x 451 mm.),27,CONTEMPORARY EDITION,2,19,"56,100"
william pope.l ,1955,0,67,1,Gray People Fink Sunshine,2014,USD,8593.75,5000,7500,1,1,(26.7 x 22.9cm.),30,First Open: Post-War & Contemporary Art Online,3,21,"2,430,000"
pablo picasso ,1881,1973,92,0,Pichet têtes (A.R. 221),1953,USD,10000,2500,3500,1,1,0,15,Picasso Ceramics Online,11,21,"470,000"
mariano rodríguez ,1912,1990,78,0,Pelea de gallos,1942,USD,1087500,800000,1200000,1,0,(63.8 x 73.9 cm.),23,LATIN AMERICAN ART,11,16,"9,450,000"
roger de la fresnaye ,1885,1925,40,0,"La conquête de l'air, avec deux personnages",1913,USD,2489025,1050000,1575000,1,1,0,24,ART IMPRESSIONNISTE ET MODERNE,3,17,"21,400"
julian schnabel ,1951,0,71,1,Untitled (For Rose),1979,USD,3750,3000,5000,1,0,(89.5 x 73 cm.),17,FIRST OPEN: SUMMER EDITION,7,13,"47,700"
francisco de goya y lucientes ,1764,1828,64,0,Los Desastres de la Guerra,0,USD,62500,12500,18750,1,1,(overall),19,PRINTS AND MULTIPLES,9,17,"106,000"
ellsworth kelly ,1923,2015,92,0,Blue/Red-Orange,0,USD,6875,3000,5000,1,1,(632 x 635 mm.),1,FIRST OPEN | EDITIONS,3,16,"73,900"
pablo picasso ,1881,1973,92,0,Tête de faune (A.R. 51),1948,USD,12500,5000,7000,1,1,0,20,Picasso Ceramics,5,20,"470,000"
liu lui ,1957,0,65,1,Three Muses,1999,USD,184500,180000,270000,1,0,(60 x 48 in.),24,ASIAN AND WESTERN 20TH CENTURY & CONTEMPORARY ART,10,14,"38,500,000"
pablo picasso ,1881,1973,92,0,"Sculpteurs, modèles et sculpture, from La Suite Vollard",0,USD,13750,7000,10000,1,1,(194 x 263 mm.),20,PRINTS AND MULTIPLES,4,18,"470,000"
eero saarinen ,1910,1961,51,0,"TWO 'GRASSHOPPER' LOUNGE CHAIRS, DESIGNED 1950",0,USD,8750,4000,6000,1,1,0,13,JF CHEN COLLECTION,2,18,"59,700"
pablo picasso ,1881,1973,92,0,Le modèle dans l'atelier,0,USD,4552500,3750000,5000000,1,0,(46.2 x 54.9 cm.),1,20TH/21ST CENTURY: LONDON EVENING SALE,3,22,"470,000"
edzard koning ,1869,1954,85,0,Town view by night,0,USD,2625,1260,1680,1,1,0,12,NINETEEN TO NOW,3,13,"322,000"
robert rauschenberg ,1925,2008,83,0,"Statue of Liberty, from New York, New York",0,USD,4000,3000,5000,1,0,(902 x 622 mm.),19,Contemporary Edition,7,17,"350,000"
marc chagall ,1887,1985,98,0,La Nuit de Saint Paul,0,USD,4687.5,3125,4375,1,1,0,22,Prints & Multiples: Modern to Pop,9,20,"282,000"
willem de kooning ,1904,1997,93,0,Untitled,1967,USD,40000,40000,60000,1,-1,(47.6 x 59.7 cm.),21,First Open | Post-War & Contemporary Art,7,21,"48,800"
christopher wilmarth ,1943,1987,44,0,Normal Drawing,1971,USD,35000,10000,15000,1,1,(55.9 x 55.9 x 2.5 cm.),27,THE COLLECTION OF PAUL F. WALTER,9,17,"35,100"
marcel duchamp ,1887,1969,82,0,"De ou par Marcel Duchamp ou Rrose Sélavy (La Boîte-en-valise), série F",0,USD,222075,210000,315000,1,0,(16 ¼ x 15 1/8 x 3 7/8 in.),18,SHE WAS A GIANT COLLECTION BÉNÉDICTE PESLE,10,18,"85,000"
mary mccartney ,1969,0,53,1,Kate Unzipping,2004,USD,25000,1875,3125,1,1,(84.5 x 66cm.),15,The George Michael Collection Online Auction,3,19,"830,000"
louis valtat ,1869,1952,83,0,Jeune femme à la marinière,1914,USD,5906.25,6300,8400,1,-1,0,29,IMPRESSIONIST & MODERN ART,3,19,"22,600"
pablo picasso ,1881,1973,92,0,"Sculpteur et trois Danseuses sculptées, planche issue de la Suite Vollard (Bloch 217; Bear 421 B.d.)",0,USD,10500,6300,8400,1,1,0,29,COLLECTION WILLEM PEPPLER,10,14,"470,000"
odilon redon ,1840,1916,76,0,Orchidée fantastique,0,USD,62500,20000,30000,1,1,(24.7 x 17.2 cm.),5,BETSY BLOOMINGDALE: A LIFE IN STYLE,4,17,"45,200"
manolo millares ,1926,1972,46,0,El Inquisidor (The Inquisitor),1968,USD,218750,112500,150000,1,1,(101 x 82cm.),7,POST-WAR AND CONTEMPORARY ART DAY AUCTION,3,18,"23,100"
john koch ,1909,1978,69,0,Red Shirt,1952,USD,12500,12000,18000,1,0,(25.4 x 20.3 cm.),18,AMERICAN ART,5,21,"6,850,000"
auguste rodin ,1840,1917,77,0,"Tête de Balzac, derniere état, version au col coupé derrière l'oreille",1957,USD,47500,25000,35000,1,1,0,8,IMPRESSIONIST AND MODERN ART DAY SALE,11,12,"90,800"
mimmo rotella ,1918,2006,88,0,Sans titre,1955,USD,31500,26250,36750,1,0,0,20,COLLECTION GERARD VALKIER : A LIFETIME JOURNEY WITH ART.,10,21,"47,700"
théo van rysselberghe ,1862,1926,64,0,"Silhouette de Madame Georges Flé (Laure Flé) à Ambleteuse ; Laure Flé, Étude pour une composition",1901,USD,39375,31500,52500,1,0,0,23,ART MODERNE,10,20,"112,000"
frederick h. evans (1853-1943,1853,1943,90,0,"Westminster Abbey, South Aisle and into Nave, 1911",0,USD,10000,8000,12000,1,0,(24.1 x 18.7cm.),6,PHOTOGRAPHS,10,15,"40,900"
maximilien luce ,1858,1941,83,0,Jour de marché à Gisors (rue Cappeville),1897,USD,150937.5,42000,63000,1,1,0,29,IMPRESSIONIST & MODERN ART,3,19,"47,700"
henry mayo bateman ,1887,1970,83,0,The Colonel in the Chair (i); The Colonel talks to the Exchange (ii),0,USD,9375,1500,2250,1,1,(60.7 x 48.2 cm.),20,ANNABEL'S,11,18,"13,700"
henri matisse ,1869,1954,85,0,Coupe de pêches,0,USD,40000,20000,30000,1,1,(40.7 x 52.8 cm.),22,Matisse on Paper: Prints & Drawings from the Estate of Jacquelyn Miller Matisse,10,20,"260,000"
le corbusier ,1887,1965,78,0,"Nature morte, carafe, verre, bouteille et dé",1955,USD,112500,90000,120000,1,0,(63.1 x 48 cm.),16,IMPRESSIONIST AND MODERN ART WORKS ON PAPER,5,17,"226,000"
afro ,1912,1976,64,0,Santa Fe’,1964,USD,213125,187500,250000,1,0,(50 x 60cm.),16,THE ITALIAN SALE,10,14,"15,800,000"
fernand léger ,1881,1955,74,0,Visage aux deux mains,1954,USD,14437.5,10500,15750,1,0,0,8,Art Contemporain et Design - vente online,12,20,"298,000"
ellsworth kelly ,1923,2015,92,0,Untitled (Orange State III),0,USD,7500,5000,7000,1,1,(1171 x 1156 mm.),19,Contemporary Edition,7,17,"73,900"
mark shaw ,1922,1969,47,0,"Audrey Hepburn, 1953",0,USD,4200,2100,3150,1,1,(19 3/8 x 13 5/8 in.),19,ICONS OF GLAMOUR & STYLE : THE CONSTANTINER COLLECTION,6,19,"139,000"
francis picabia ,1879,1953,74,0,Sans titre,0,USD,75000,50000,87500,1,0,(63.2 x 48.5 cm.),28,IMPRESSIONIST AND MODERN WORKS ON PAPER,2,19,"81,400"
christopher wood ,1901,1930,29,0,Two women,0,USD,4062.5,2500,5000,1,0,(24.1 x 20.3 cm.),21,MODERN BRITISH AND IRISH ART,3,13,"2,200,000"
cuno amiet ,1868,1961,93,0,"Kleinkind, 1911",0,USD,22950,18360,25500,1,0,0,17,SWISS ART,10,17,"31,300"
maynard dixon ,1875,1946,71,0,Study for 'Hopi Weaver',0,USD,11875,12000,18000,1,-1,(25.4 x 34.3 cm.),20,American Art Online,11,19,"264,000"
fernand léger ,1881,1955,74,0,Cheval sur fond orange,0,USD,13125,10500,15750,1,0,0,21,ART MODERNE,10,16,"298,000"
karel appel ,1921,2006,85,0,La Fleur et les oiseaux (The Flower and the Birds),1951,USD,322875,262500,367500,1,0,0,27,POST-WAR & CONTEMPORARY ART,11,18,"167,000"
robert mangold ,1937,0,85,1,Untitled,1973,USD,933125,375000,625000,1,1,(182.8 x 182.8cm.),11,POST-WAR AND CONTEMPORARY ART EVENING AUCTION,2,16,"265,000"
karl benjamin ,1925,2012,87,0,"#8, 1967",1967,USD,23437.5,18750,25000,1,0,(122.3 x 91.8cm.),25,FIRST OPEN/LDN,9,14,"6,630,000"
lucio fontana ,1899,1968,69,0,"Concetto spaziale, Attese",1959,USD,1383125,750000,1000000,1,1,(90 x 80cm.),16,THE ITALIAN SALE,10,15,"99,500"
ventura salimbeni ,1568,1613,45,0,The head and shoulders of a man,0,USD,4687.5,1000,1500,1,1,(18.7 x 20.7 cm.),6,"Old Master Works on Paper: Prints and Drawings for under £5,000",12,18,"8,260"
adam fuss ,1961,0,61,1,"Untitled #883, 1998",0,USD,25000,25000,35000,1,-1,(83 x 75.5cm.),6,PHOTOGRAPHS,10,15,"401,000"
sol lewitt ,1928,2007,79,0,Bands in Four Directions (Red/Blue),0,USD,3250,2000,3000,1,1,(229 x 229 mm.),27,CONTEMPORARY EDITION,2,19,"81,000"
george elgar hicks ,1824,1914,90,0,Alone,0,USD,21875,7500,10000,1,1,(42.5 x 32.4 cm.),11,"BRITISH ART: VICTORIAN, PRE RAPHAELITE & BRITISH IMPRESSIONIST ART",12,18,"16,400"
man ray ,1890,1976,86,0,La Poire d'Erik Satie,1969,USD,131250,21000,31500,1,1,0,2,MAN RAY ET LES SURRÉALISTES. COLLECTION LUCIEN ET EDMONDE TREILLARD,3,21,"702,000"
joan miro ,1893,1983,90,0,"Untitled, Drawing-Collage",0,USD,242500,120000,180000,1,1,(46.8 x 63 cm.),8,IMPRESSIONIST AND MODERN WORKS ON PAPER,11,12,"281,000"
james ensor ,1860,1949,89,0,"Les Masques scandalisés (Scandalized Masks) (D., Cr., T. 99; E. 101)",0,USD,3437.5,1875,2500,1,1,0,19,JAMES ENSOR PRINTS: THE MIRA JACOB COLLECTION,3,14,"65,700"
christian marclay ,1955,0,67,1,Krak,2007,USD,12500,750,1000,1,1,(44 x 45.2cm.),15,The George Michael Collection Online Auction,3,19,"75,400"
paul gauguin ,1848,1903,55,0,Portrait d'enfant,0,USD,130625,62500,100000,1,1,(15.7 x 21 cm.),3,IMPRESSIONIST & MODERN ART DAY SALE,2,16,"115,000"
pablo picasso ,1881,1973,92,0,Banderilleros (A.R. 419),0,USD,13281.25,7500,10000,1,1,0,1,Picasso Ceramics Online,3,19,"470,000"
mariano rodríguez ,1912,1990,78,0,Guajiros a caballo y mujer con sombrilla,1944,USD,52500,40000,60000,1,0,(61 x 55 cm.),24,LATIN AMERICAN ART,5,18,"9,450,000"
osvaldo licini ,1894,1958,64,0,Croci viventi,0,USD,65625,63000,84000,1,0,0,5,THINKING ITALIAN MILAN,11,20,"19,100"
william macdonald ,1883,1960,77,0,The peacock,0,USD,4687.5,1250,1875,1,1,(93.7 x 59.7 cm.),4,THE NEIL WILSON COLLECTION: A ROMANTIC VISION,9,14,"6,960,000"
joseph christian leyendecker ,1874,1951,77,0,The Toymaker,1920,USD,336500,150000,250000,1,1,(61 x 50.8 cm.),21,AMERICAN ART,11,17,"26,700"
pedro friedeberg ,1936,0,86,1,Handkerchief of a Mayan Virgin on the Day of Her Sacrifice and Execution (Pañuelo de una virgen maya el día de su sacrificio y ejecución),2008,USD,1375,3000,5000,1,-1,(37.5 x 29.5 cm.),27,Vice,5,20,"18,800"
