Artist,Birth,Death,Art Title,DoC,Estimate,price,Dimentions,close date,Auction Title
HELEN FRANKENTHALER ,1928,2011,Cedar Hill,0,"USD 6,000 – USD 8,000","USD 6,875",(511 x 632 mm.),27 Feb 2019,"2019 | LIVE AUCTION 16785
CONTEMPORARY EDITION"
Günther Förg ,1952,2013,Untitled,1986,"GBP 70,000 – GBP 100,000","GBP 218,500",(160 x 110.5cm.),2 Jul 2014,"2014 | LIVE AUCTION 1536
POST-WAR AND CONTEMPORARY ART DAY AUCTION"
PETER BEARD ,0,0,"From Guinea, 1960",0,"EUR 6,000 – EUR 8,000","EUR 6,000",(8¼ x 13 3/8 in.),17 Nov 2012,"2012 | LIVE AUCTION 3514
PHOTOGRAPHIES"
"JOHN HOYLAND, R.A. ",1934,2011,Ancient Language; Islander's and Paradise Corner,2007,"GBP 5,000 - GBP 8,000","GBP 11,875",(50.8 x 50.8 cm.),23 Nov 2018,"16 Nov - 23 Nov 2018 | Online Auction 16455
Modern/British & Irish Art"
"Circle of Biagio dalle Lame, called Biagio Pupini ",Bologna,1551,The Holy Family with Saint Catherine,0,"USD 15,000 – USD 20,000","USD 25,000",(68.3 x 57.8 cm.),27 Apr 2017,"2017 | LIVE AUCTION 13874
OLD MASTER PAINTINGS AND SCULPTURE"
Hussein Madi ,1938,0,Untitled,2008,"GBP 20,000 – GBP 30,000","GBP 37,500",(125 x 135cm.),23 Oct 2019,"2019 | LIVE AUCTION 17275
MIDDLE EASTERN, MODERN AND CONTEMPORARY ART"
Giovanni Battista Foggini ,Florence,1725,A battle scene outside a walled city,0,"GBP 5,000 – GBP 7,000","GBP 6,250",(24.5 x 25.6 cm),3 Jul 2018,"2018 | LIVE AUCTION 15774
OLD MASTER & BRITISH DRAWINGS & WATERCOLOURS"
De Wain Valentine ,1936,0,Circle,0,"USD 40,000 - USD 60,000","USD 81,250",(43.8 x 43.8 x 2.2 cm.),18 Aug 2020,"4 Aug - 18 Aug 2020 | Online Auction 18315
First Open"
Robert Indiana ,1928,0,U-2,1960,"USD 300,000 – USD 400,000","USD 435,750",(115.5 x 33 x 27.3 cm.),16 May 2013,"2013 | LIVE AUCTION 2786
POST-WAR & CONTEMPORARY MORNING SESSION"
Guido Reni ,Bologna,1642,Cupid pleading with Venus for his bow and arrows,0,"GBP 3,000 – GBP 5,000","GBP 10,000",(16.1 x 20.9 cm.),5 Jul 2016,"2016 | LIVE AUCTION 11787
OLD MASTER & BRITISH DRAWINGS"
"Gillian Ayres, R.A. ",1930,0,"Orange, Yellow, Black, Blue",0,"GBP 2,000 – GBP 3,000","GBP 10,625",(41.3 x 27.9 cm.),20 Mar 2014,"2014 | LIVE AUCTION 5249
MODERN BRITISH AND IRISH ART"
TWO DECORATIVE TROPHIES FROM THE COLDSTREAM GUARDS OFFICER'S MESS,74,three,CIRCA 1815,0,"GBP 15,000 – GBP 25,000","GBP 15,000",(74 x 150 cm.),30 Jan 2019,"2019 | LIVE AUCTION 17484
PETER PETROU: TALES OF THE UNEXPECTED"
BANKSY  AND VARIOUS ARTISTS,0,0,Pax Britannica: A Hellish Peace,0,"GBP 20,000 - GBP 30,000","GBP 56,250",(Wrong War),23 Sep 2020,"10 Sep - 23 Sep 2020 | Online Auction 18952
Banksy: I can’t believe you morons actually buy this sh*t"
John Marin ,1870,1953,Paris Scene,08,"USD 8,000 - USD 12,000","USD 8,125",(24.1 x 33 cm.),20 Nov 2019,"14 Nov - 20 Nov 2019 | Online Auction 17662
American Art Online"
Maximilien Luce ,1858,1941,Environs de Charleroi sur les bords de la Sambre,1896,"GBP 4,000 – GBP 6,000","GBP 46,250",(44.8 x 60 cm.),5 Feb 2014,"2014 | LIVE AUCTION 1508
IMPRESSIONIST/MODERN WORKS ON PAPER"
GARY SIMMONS ,0,0,Three Crows,1995,"USD 5,000 - USD 7,000","USD 5,250",(76.5 x 56.8 cm.),23 Aug 2018,"13 Aug - 23 Aug 2018 | Online Auction 16385
Horizon | Post-War and Contemporary Art"
"Walter Richard Sickert, A.R.A. ",1860,1942,The Flower Girl; Two Women,1911,"GBP 20,000 – GBP 30,000","GBP 74,500",(38.1 x 30.5 cm.),26 Nov 2015,"2015 | LIVE AUCTION 10366
MODERN BRITISH AND IRISH ART DAY SALE"
Edouard Vuillard ,1868,1940,Les Lilas (Le bouquet schématique),0,"USD 1,200,000 – USD 1,800,000","USD 1,092,500",(34.9 x 28 cm.),13 Nov 2017,"2017 | LIVE AUCTION 15004
IMPRESSIONIST & MODERN ART EVENING SALE INCLUDING PROPERTY FROM THE COLLECTION OF NANCY LEE AND PERRY R. BASS"
Jacob Grimmer ,Antwerp,before,"An extensive Italianate landscape with the calling of Cincinnatus from the plough, a view of Rome beyond",0,"GBP 40,000 – GBP 60,000","GBP 37,500",(81.4 x 113 cm.),8 Jul 2016,"2016 | LIVE AUCTION 11974
OLD MASTER AND BRITISH PAINTINGS DAY SALE"
Ray Yoshida ,0,0,Untitled,0,"USD 1,000 – USD 1,500","USD 2,250",(27.9 x 21.5 cm.),22 Jul 2015,"2015 | LIVE AUCTION 3757
FIRST OPEN/ NYC"
James Siena ,1957,0,Coffered Perforated Recursive Combs,2008,"USD 8,000 - USD 12,000","USD 22,500",(49 x 38.4 cm.),15 Dec 2020,"1 Dec - 15 Dec 2020 | Online Auction 18985
First Open | Online"
Carstian Luyckx ,Antwerp,after,"Grapes, peaches, a lemon, plums, cherries and a roemer on a partially-draped table",0,"USD 30,000 – USD 50,000","USD 25,000",(24.8 x 34.3 cm.),29 Jan 2015,"2015 | LIVE AUCTION 3709
OLD MASTER PAINTINGS & SCULPTURE PART II"
Sol LeWitt ,1928,2007,"Study for Wall Drawing: Kunsthalle, Berne Switzerland, 1972",1972,"GBP 7,000 - GBP 10,000","GBP 6,250",(20 x 29.5cm.),20 Sep 2018,"12 Sep - 20 Sep 2018 | Online Auction 16454
First Open Online"
Jean-Gabriel Domergue ,French,Gabriel,The pink hat; The fascinator,0,"GBP 2,500 – GBP 3,500","GBP 6,250",(26 x 21 cm.),21 Jan 2015,"2015 | LIVE AUCTION 10358
19TH CENTURY EUROPEAN ART"
Paul Strand ,1890,mounted,"Ghost Town, Red River, New Mexico, 1930",0,"USD 25,000 – USD 35,000","USD 30,000",(24.2 x 19.1 cm.),5 Oct 2016,"2016 | LIVE AUCTION 12204
PHOTOGRAPHS"
LAWRENCE WEINER ,0,0,Shards,1986,"USD 4,000 - USD 6,000","USD 4,000",(22.7 x 17.8 cm.),2 Mar 2018,"23 Feb - 2 Mar 2018 | Online Auction 15879
on paper | online"
"Alfred Augustus Glendening, Snr. ",1840,1910,The shepherd's distraction,0,"GBP 1,500 – GBP 2,000","GBP 3,500",(41.2 x 61 cm.),14 Nov 2013,"2013 | LIVE AUCTION 9603
VICTORIAN, BRITISH AND IMPRESSIONIST ART"
Joan Miro ,1893,1983,Salle de concert,1918,"USD 40,000 – USD 60,000","USD 56,250",(25 x 16.1 cm.),13 May 2016,"2016 | LIVE AUCTION 12070
IMPRESSIONIST & MODERN ART WORKS ON PAPER"
ALBERT BIERSTADT ,1830,1902,Thoroughbred,0,"USD 25,000 – USD 35,000","USD 33,750",(35.6 x 49.5 cm.),19 Jan 2022,"JANUARY 19 | LIVE AUCTION 20780
19TH CENTURY AMERICAN ART"
Carl Andre ,0,0,EMBARCAAGALEATORNITHOMERIDA THELOTTPRINCIPADEFORM,1972,"GBP 4,000 – GBP 6,000","GBP 4,375",(28 x 21.5cm.),24 Sep 2013,"2013 | LIVE AUCTION 9383
POST-WAR AND CONTEMPORARY ART"
ANOUSKA BECKWITH ,B,mounted,"Do Not Be Lonely, 2014",0,"GBP 2,000 - GBP 4,000","GBP 2,750",(60 x 90 cm.),27 Apr 2021,"6 Apr - 27 Apr 2021 | Online Auction 20460
Wisdom and Nature"
Keith Haring ,1958,1990,Untitled,1983,"USD 2,500,000 – USD 3,500,000","USD 3,000,000",(185.4 x 185.4 cm.),9 Mar 2021,"2021 | LIVE AUCTION 19808
POST-WAR TO PRESENT"
Hans Bellmer ,1902,1975,Etude préparatoire au Portrait d'Unica avec l'oeil-sexe,0,"GBP 10,000 – GBP 15,000","GBP 11,250",(21.9 x 16.8 cm.),24 Jun 2015,"2015 | LIVE AUCTION 10379
IMPRESSIONIST & MODERN WORKS ON PAPER SALE"
Lucio Fontana ,1899,1968,Concetto spaziale,1968,"GBP 800 - GBP 1,200","GBP 4,000",(48 x 64cm.),20 Sep 2018,"12 Sep - 20 Sep 2018 | Online Auction 16454
First Open Online"
"George Romney, R.A. ",Dalton,in,"Portrait of Dorothea, Lady Robinson (1739-1815), half-length, in a blue dress and a white bonnet",0,"GBP 10,000 – GBP 15,000","GBP 12,500",(76.8 x 63.5 cm.),30 Oct 2014,"2014 | LIVE AUCTION 5660
OLD MASTER AND BRITISH PAINTINGS"
Roger De La Fresnaye ,1885,1925,Etude pour le portrait Georges de Miré,0,"USD 3,000 – USD 4,000","USD 4,000",(63.5 x 45.6 cm.),6 Nov 2014,"2014 | LIVE AUCTION 2889
IMPRESSIONIST & MODERN WORKS ON PAPER SALE"
William Marlow ,London,1813,"A view on the coast, probably St. Margaret's Bay, Kent",0,"USD 3,000 – USD 5,000","USD 4,750",(24.7 x 36.1 cm.),5 Jun 2013,"2013 | LIVE AUCTION 2710
OLD MASTER PAINTINGS"
Josh Faught ,1979,0,Issues,2015,"GBP 1,500 - GBP 2,500","GBP 7,500",(223.5 x 264.2cm.),28 May 2020,"12 May - 28 May 2020 | Online Auction 19564
Handpicked: 100 Works Selected by the Saatchi Gallery"
"Sir Edward Coley Burne-Jones, Bt., A.R.A., R.W.S. ",1833,Jones,"Portrait study of a gentleman, thought to be the artist's son, Philip Burne-Jones (1861-1926)",0,"GBP 4,000 – GBP 6,000","GBP 1,500",(15.9 x 13.4 cm.),4 Sep 2014,"2014 | LIVE AUCTION 5928
THE NEIL WILSON COLLECTION: A ROMANTIC VISION"
Roy Lichtenstein ,1923,1997,Woman Contemplating Yellow Cup,1995,"USD 1,200,000 – USD 1,800,000","USD 1,805,000",(180.3 x 213.3 x 2.5 cm.),14 May 2014,"2014 | LIVE AUCTION 2848
POST-WAR AND CONTEMPORARY MORNING SESSION"
PAJAMA ,0,0,"Untitled, c. 1940",0,"USD 3,000 - USD 5,000","USD 7,500",(22.5 x 17.1 cm.),14 Oct 2020,"5 Oct - 14 Oct 2020 | Online Auction 19790
The Unseen Eye: Photographs from the W.M. Hunt Collection"
Henri Matisse ,1869,1954,Etudes pour la Vierge 'Tête voilée' : one plate,0,"USD 2,000 - USD 3,000","USD 9,375",(251 x 182 mm.),22 Oct 2020,"8 Oct - 22 Oct 2020 | Online Auction 19599
Matisse on Paper: Prints & Drawings from the Estate of Jacquelyn Miller Matisse"
Hermanus Willem Koekkoek ,Dutch,1929,"Dutch field artillery, circa 1890",0,"GBP 1,500 – GBP 2,000","GBP 5,000",(32.4 x 22.3 cm.),31 Jan 2013,"2013 | LIVE AUCTION 8252
19TH CENTURY EUROPEAN ART INCLUDING ORIENTALIST ART"
RIMOWA X DANIEL ARSHAM ,B,published,Eroded Attaché,2019,"USD 4,000 - USD 6,000","USD 3,500",(36.2 x 46.4 x 14 cm.),19 Aug 2020,"5 Aug - 19 Aug 2020 | Online Auction 18988
Trespassing"
GLENN LIGON ,0,0,Come Out Study #19,2015,"GBP 100,000 – GBP 150,000","GBP 149,000",(91.4 x 121.9cm.),7 Oct 2016,"2016 | LIVE AUCTION 12245
POST-WAR & CONTEMPORARY ART DAY AUCTION"
LOUIS FAURER ,0,0,"Champion, New York City, 1949–1950",0,"USD 3,000 - USD 5,000","USD 2,500",(17.7 x 26.6 cm.),24 Jul 2019,"16 Jul - 24 Jul 2019 | Online Auction 16398
Photographs: New York, New York"
Dominic Beattie ,0,0,Untitled,2012,"GBP 1,000 - GBP 2,000","GBP 1,250",(54.8 x 36cm.),29 Jun 2018,"20 Jun - 29 Jun 2018 | Online Auction 17018
Handpicked: 50 works selected by the Saatchi Collection - Online Only"
James Marion Fortenbury ,1885,1959,Saloon Nude,0,"USD 1,000 – USD 1,500","USD 4,000",(91.4 x 55.9 cm.),21 May 2015,"2015 | LIVE AUCTION 11735
VISIONS OF THE WEST: AMERICAN PAINTINGS FROM THE WILLIAM I. KOCH COLLECTION"
ELLIOTT ERWITT ,0,0,"New York City, 1974",0,"USD 6,000 - USD 8,000","USD 6,250",(20.9 x 31.1 cm.),3 Jun 2020,"19 May - 3 Jun 2020 | Online Auction 19581
Photographs"
Hendrik van Balen I  and Abraham Govaerts ,Antwerp,1632,"Diana and her maidens after the hunt, in a wooded landscape",0,"GBP 60,000 – GBP 80,000","GBP 116,500",(54.4 x 77.5 cm.),8 Jul 2016,"2016 | LIVE AUCTION 11974
OLD MASTER AND BRITISH PAINTINGS DAY SALE"
Cy Twombly ,1928,2011,Untitled,1971,"USD 2,500,000 – USD 3,500,000","USD 2,887,500",(69.9 x 99.4 cm.),15 Nov 2016,"2016 | LIVE AUCTION 12156
POST-WAR & CONTEMPORARY ART EVENING SALE"
CHU TEH-CHUN ,NÉ,CHUN,Sans titre,0,"EUR 350,000 – EUR 450,000","EUR 385,000",(35¾ x 28¾ in.),1 Jun 2012,"2012 | LIVE AUCTION 3508
ART CONTEMPORAIN"
CÉSAR ,1921,1998,Compression,0,"EUR 18,000 – EUR 25,000","EUR 18,750",(14 5/8 x 8 ¼ x 3 ¼ in.),6 Dec 2017,"2017 | LIVE AUCTION 15058
ART CONTEMPORAIN - VENTE DU JOUR"
"HENRY ALKEN, SEN. ",BRITISH,1851,The meet; Drawing cover; Full cry; and The death,0,"GBP 12,000 - GBP 15,000","GBP 17,500",(28 x 38.1 cm.),29 Jul 2020,"7 Jul - 29 Jul 2020 | Online Auction 18829
British & European Art"
ABRAHAM RADEMAKER ,1675,1735,The ruins of the Karthuyser Church near Delft,0,"GBP 700 - GBP 1,000",GBP 750,(13.3 x 21.8 cm.),6 Dec 2018,"28 Nov - 6 Dec 2018 | Online Auction 16534
Old Master Works on Paper: Prints and Drawings for under £5,000"
Alexis Hunter ,1948,2014,A Young Polynesian Considers Cultural Imperialism Before She Goes to the Disco,1981,"GBP 3,000 - GBP 5,000","GBP 2,500",(17.8 x 25cm.),19 Sep 2017,"7 Sep - 19 Sep 2017 | Online Auction 15873
on paper | online"
Wifredo Lam ,1902,1982,La nostra notte,1964,"USD 100,000 – USD 150,000","USD 112,500",(49.5 x 69.9 cm.),23 Nov 2016,"2016 | LIVE AUCTION 12167
LATIN AMERICAN ART"
Hans Hofmann ,1880,1966,The Face,1944,"USD 50,000 – USD 70,000","USD 137,000",(lower right),30 Sep 2015,"2015 | LIVE AUCTION 3761
FIRST OPEN"
Kazuo Shiraga ,1924,2008,BB56,1961,"USD 3,000,000 – USD 5,000,000","USD 4,869,000",(129.8 x 97.1 cm.),12 Nov 2014,"2014 | LIVE AUCTION 2891
POST-WAR & CONTEMPORARY ART EVENING SALE"
ROY LICHTENSTEIN ,1923,1997,Goldfish Bowl,0,"USD 10,000 – USD 15,000","USD 27,500",(635 x 464 mm.),22 Oct 2021,"2021 | LIVE AUCTION 19997
PRINTS & MULTIPLES"
Robert Mangold ,1937,0,Column Structure XIV,2007,"USD 20,000 - USD 30,000","USD 47,500",(77.1 x 62.2 cm.),18 Dec 2019,"9 Dec - 18 Dec 2019 | Online Auction 17637
First Open | Online"
Jules Cayron ,FRENCH,1940,Dressed for the evening,0,"GBP 2,500 – GBP 3,000","GBP 3,125",(65.5 x 35.5 cm.),10 Sep 2015,"2015 | LIVE AUCTION 10447
19TH CENTURY EUROPEAN ART"
Roland Piché ,1938,0,Towards a Yellow Space Frame,0,GBP 600 – GBP 800,GBP 188,(58.4 x 76.8 cm.),11 Jul 2013,"2013 | LIVE AUCTION 9158
MODERN BRITISH AND IRISH ART"
A collection of various Dutch blue and white tiles,119,1670,CIRCA 1640-1670 AND LATER,0,"EUR 2,000 – EUR 3,000","EUR 2,250",(119),27 Mar 2013,"2013 | LIVE AUCTION 3025
THE DECORATIVE ARTS SALE INCL. FINE PAINTINGS"
Claire Moryan,0,0,Mean Graces,0,GBP 200 - GBP 300,GBP 200,(57 x 36.5 cm.),8 Aug 2019,"31 Jul - 8 Aug 2019 | Online Auction 18393
Art from Within: Staff Show"
ALEXANDER CALDER ,1898,1976,Sans titre,0,"EUR 40,000 – EUR 60,000","EUR 58,600",(29½ x 43 in.),1 Jun 2012,"2012 | LIVE AUCTION 3508
ART CONTEMPORAIN"
Jacques de Gheyn II ,Antwerp,1629,"A large beech, partly in leaf",0,"GBP 300,000 – GBP 400,000","GBP 1,142,500",(35 x 25.5 cm.),10 Jul 2014,"2014 | LIVE AUCTION 10252
THE I.Q. VAN REGTEREN ALTENA COLLECTION. PART I"
POL BURY ,1922,2005,49 boules noires sur un plan,0,"EUR 70,000 – EUR 100,000","EUR 104,500",(77 1/8 x 39 3/8 x 17.6/8 in.),8 Jun 2017,"2017 | LIVE AUCTION 13735
ART CONTEMPORAIN VENTE DU JOUR"
Cy Twombly ,1928,2011,Untitled,1971,"USD 15,000,000 – USD 25,000,000","USD 17,525,000",(147.6 x 195.8 cm.),10 Nov 2015,"2015 | LIVE AUCTION 3790
POST-WAR AND CONTEMPORARY EVENING SALE"
David Bomberg ,1890,1957,"The Bullring, Rhonda",0,"GBP 2,000 – GBP 3,000","GBP 1,875",(44.4 x 59 cm.),12 Dec 2013,"2013 | LIVE AUCTION 9762
MODERN BRITISH & IRISH ART"
NADAR [GASPARD-FELIX TOURNACHON] ,1820,FELIX,"Mikhail Bakunin, c. 1860",0,"USD 8,000 – USD 12,000","USD 7,500",(23.2 x 16.5 cm.),2 Oct 2019,"2019 | LIVE AUCTION 17600
PHOTOGRAPHS"
Otto Piene ,1928,2014,Untitled (Rasterbild),1982,"GBP 80,000 – GBP 120,000","GBP 98,500",(73.3 x 102.1cm.),30 Jun 2016,"2016 | LIVE AUCTION 11798
POST-WAR AND CONTEMPORARY ART DAY AUCTION"
William Anastasi ,1933,0,Untitled (Subway Drawing 1.2.94),1994,"GBP 2,000 - GBP 3,000","GBP 2,750",(19.5 x 29.4cm.),19 Sep 2017,"7 Sep - 19 Sep 2017 | Online Auction 15873
on paper | online"
WEEGEE ,0,0,"Taj Mahal distortion, c. 1955",0,"USD 4,000 - USD 6,000","USD 1,500",(20.9 x 15.2 cm.),7 May 2019,"2 May - 7 May 2019 | Online Auction 18322
Weegee Photographs: The Elastic Lens"
Martin Kippenberger ,1953,1997,Self-Portrait (Yellow),0,"GBP 35,000 – GBP 55,000","GBP 37,500",(75 x 90cm.),17 Oct 2014,"2014 | LIVE AUCTION 1559
POST-WAR AND CONTEMPORARY ART DAY AUCTION"
Herman Verelst ,Den,1702,"Carnations, roses, peonies and other flowers in a glass vase on a stone ledge",0,"GBP 20,000 – GBP 30,000","GBP 35,000",(82.3 x 65.3 cm.),8 Jul 2016,"2016 | LIVE AUCTION 11974
OLD MASTER AND BRITISH PAINTINGS DAY SALE"
"Jean-Michel Moreau, called Moreau le Jeune ",Paris,Michel,'Voilà l'homme de Platon': An illustration to Jean-Jacques Barthélémy's Voyage du jeune Anacharsis en Grèce,0,"GBP 6,000 – GBP 8,000","GBP 11,250",(16.5 x 23.1 cm.),2 Jul 2013,"2013 | LIVE AUCTION 1137
OLD MASTER & BRITISH DRAWINGS & WATERCOLOURS"
Henri Matisse ,1869,1954,Femme accoudée,0,"USD 15,000 - USD 20,000","USD 75,000",(15 x 22.2 cm.),1 Mar 2019,"21 Feb - 1 Mar 2019 | Online Auction 18084
Matisse on Paper: Prints and Drawings from the Estate of Jacquelyn Miller Matisse"
"Follower of Luis de Morales, el Divino",0,0,Christ Carrying the Cross,0,"GBP 4,000 – GBP 6,000","GBP 3,500",(41 x 29.8 cm.),29 Mar 2017,"2017 | LIVE AUCTION 13917
OLD MASTER & BRITISH PAINTINGS"
AARON YOUNG,0,0,Forest King,0,USD 400 - USD 600,USD 500,(76.2 x 57.2 cm.),5 Aug 2019,"25 Jul - 5 Aug 2019 | Online Auction 18303
Inside Job: Christie's Staff Art Show"
Odilon Redon ,1840,1916,Fleurs dans un vase,0,"USD 300,000 – USD 500,000","USD 275,000",(60.7 x 48.6 cm.),16 May 2018,"2018 | LIVE AUCTION 15972
IMPRESSIONIST AND MODERN ART WORKS ON PAPER"
MAN RAY ,0,0,"Max Ernst Sand Painting, c. 1936",0,"USD 6,000 – USD 8,000","USD 8,125",(16.1 x 20.6 cm.),6 Oct 2021,"2021 | LIVE AUCTION 19673
PHOTOGRAPHS"
Paul Guillaume Seignac ,French,1904,The lost tooth,0,"GBP 2,000 – GBP 4,000","GBP 3,750",(65.3 x 50.7 cm.),20 Jan 2016,"2016 | LIVE AUCTION 11799
19TH CENTURY EUROPEAN ART"
Mark Lombardi ,1951,2000,Nugan Hand Bank Sydney Australia c. 1973-80 (3rd Version),1995,"USD 25,000 - USD 35,000","USD 25,000",(61 x 87.6 cm.),26 Feb 2019,"20 Feb - 26 Feb 2019 | Online Auction 17028
On Paper | Online"
Pierre-Auguste Renoir ,1841,Auguste,"Paysage, chemin à la sortie d'un bois",0,"GBP 120,000 – GBP 180,000","GBP 150,000",(22.2 x 31.3 cm.),28 Feb 2018,"2018 | LIVE AUCTION 15472
IMPRESSIONIST AND MODERN ART DAY SALE"
Josef Albers ,1888,1976,Study for White Line Square,0,"USD 25,000 – USD 35,000","USD 47,500",(33.3 x 30.4 cm.),15 Nov 2012,"2012 | LIVE AUCTION 2599
POST-WAR & CONTEMPORARY ART AFTERNOON SESSION"
Fernando Botero ,1932,0,Woman with Fruit,2007,"USD 120,000 – USD 180,000","USD 161,000",(104.8 x 74.9 cm.),20 Nov 2013,"2013 | LIVE AUCTION 2747
LATIN AMERICAN ART"
Antony Gormley ,1950,0,Meme LXXXIV,2010,"GBP 35,000 – GBP 55,000","GBP 80,500",(9.8 x 26 x 16cm.),30 Jun 2016,"2016 | LIVE AUCTION 11798
POST-WAR AND CONTEMPORARY ART DAY AUCTION"
CINDY SHERMAN ,B,2001,Untitled (Lucy),1975,"USD 7,000 - USD 9,000","USD 10,625",(26 x 21 cm.),2 Mar 2018,"23 Feb - 2 Mar 2018 | Online Auction 15879
on paper | online"
Robert McInnes ,1801,1886,A Venetian fiesta,0,"GBP 10,000 – GBP 15,000","GBP 15,000",(122.5 x 198.5 cm.),7 Jul 2016,"2016 | LIVE AUCTION 12309
VICTORIAN, PRE-RAPHAELITE & BRITISH IMPRESSIONIST ART, MARITIME ART, SPORTING & WILDLIFE ART"
IMOGEN CUNNINGHAM ,0,0,"Sonnets from the Portuguese, c. 1910",0,"USD 6,000 - USD 8,000","USD 5,000",(23.8 x 17.2 cm.),30 Sep 2020,"21 Sep - 30 Sep 2020 | Online Auction 18978
Photographs"
Louis H. Grimshaw ,1870,1943,"The Mansion House, London",0,"GBP 40,000 – GBP 60,000","GBP 77,500",(29.5 x 44.4 cm.),14 Dec 2016,"2016 | LIVE AUCTION 12237
VICTORIAN, PRE-RAPHAELITE AND BRITISH IMPRESSIONIST ART"
HELMUT NEWTON ,1920,one,"Cyberwomen Series, 2000",0,"USD 12,000 - USD 18,000","USD 12,500",(verso),3 Jun 2020,"19 May - 3 Jun 2020 | Online Auction 19581
Photographs"
CIRCLE OF WILLEM WISSING ,AMSTERDAM,1687,"Portrait of a lady, half length, in a russet dress and brown shawl",0,"GBP 3,000 - GBP 5,000","GBP 4,032",(76.7 x 63.5 cm.),17 Mar 2022,"3 Mar - 17 Mar 2022 | Online Auction 21048
View over St. James’s Square: A Private Collection"
BANKSY,lower,paint,Happy Choppers,2006,"GBP 3,000,000 – GBP 5,000,000",0,(125 x 180cm.),1 Mar 2022,"MARCH 1 | LIVE AUCTION 20661
20TH/21ST CENTURY: LONDON EVENING SALE"
"SCOTTISH SCHOOL , AFTER LOUIS GABRIEL BLANCHET ",19TH,1772,Portrait of Prince Charles Edward Stuart,0,"USD 4,000 - USD 6,000",USD 875,(91.5 x 71.1 cm.),8 Oct 2020,"23 Sep - 8 Oct 2020 | Online Auction 19031
The Collector | Online: English & European 18th & 19th Century Furniture, Ceramics, Silver & Works of Art"
Henri Hayden ,1883,1970,Nature morte au journal,0,"GBP 150,000 – GBP 250,000","GBP 392,750",(81.5 x 60.2 cm.),28 Feb 2018,"2018 | LIVE AUCTION 15472
IMPRESSIONIST AND MODERN ART DAY SALE"
Imi Knoebel ,1940,0,Darlin',1993,"GBP 55,000 – GBP 75,000","GBP 100,000",(116 x 116 x 14cm.),5 Oct 2019,"2019 | LIVE AUCTION 17214
POST-WAR AND CONTEMPORARY ART DAY AUCTION"
Jan Brueghel II ,Antwerp,1678,An Allegory of War and Peace,0,"GBP 15,000 – GBP 20,000","GBP 68,500",(70.4 x 88.2 cm.),31 Oct 2013,"2013 | LIVE AUCTION 9577
OLD MASTERS & BRITISH PAINTINGS"
MIQUEL BARCELÓ ,0,0,Djoliba (Riu de Sang) (Djoliba (River of Blood)),2009,"GBP 180,000 - GBP 250,000","GBP 212,500",(227.2 x 259 cm.),14 Jul 2020,"26 Jun - 14 Jul 2020 | Online Auction 18872
Dialogues: Modern and Contemporary Art"
JR ,B,signed,"JR au Louvre, 29 Mars 2019, 19h01 © Pyramide, architecte I. M. Pei, musée du Louvre, Paris, France, 2019",2019,"USD 4,000 - USD 6,000","USD 10,000",(59.7 x 92.1 cm.),22 Jul 2021,"9 Jul - 22 Jul 2021 | Online Auction 20281
Trespassing"
HSIAO CHIN ,0,0,Cosmo Radiante,1965,"HKD 600,000 – HKD 800,000","HKD 1,000,000",(27 1/2 x 35 3/8 in.),25 May 2019,"2019 | LIVE AUCTION 15615
20TH CENTURY & CONTEMPORARY ART (EVENING SALE)"
GIORGIO MORANDI ,1890,1964,I pioppi,0,"USD 3,000 – USD 5,000","USD 9,375",(258 x 183 mm.),20 Apr 2017,"2017 | LIVE AUCTION 13738
PRINTS & MULTIPLES"
"SIR ALFRED JAMES MUNNINGS, P.R.A., R.W.S. ",BRITISH,1959,Cattle at Thorington Street,0,"GBP 7,000 - GBP 10,000","GBP 27,500",(17 x 25 cm.),10 Dec 2020,"26 Nov - 10 Dec 2020 | Online Auction 18879
British & European Art"
MINOR WHITE ,0,0,"Untitled (Small church), 1973",0,"USD 2,000 - USD 3,000",USD 750,(19 x 15.2 cm.),19 Jul 2018,"9 Jul - 19 Jul 2018 | Online Auction 16653
MoMA: Tracing Photography's History"
WILHELM SCHURMANN ,0,0,"Liège, 1978",0,"EUR 1,500 – EUR 2,000","EUR 1,500",(8 7/8 x 12 7/8 in.),14 Nov 2013,"2013 | LIVE AUCTION 3580
AGATHE GAILLARD ET LA PHOTOGRAPHIE : UNE PIONNIÈRE À PARIS"
"Frederic, Lord Leighton, P.R.A. ",1830,1896,"Pan 'O thou, to whom Broad leaved fig trees even now foredoom Their ripen'd fruitage' (Keats, Endymion)",0,"GBP 250,000 – GBP 350,000","GBP 241,250",(153.6 x 62.2 cm.),13 Dec 2012,"2012 | LIVE AUCTION 5969
VICTORIAN & BRITISH IMPRESSIONIST ART"
"FREDERICK MORGAN, R.O.I. ",BRITISH,1927,The Favoured Swain,1887,"USD 30,000 - USD 50,000",0,(87 x 150.5 cm.),12 Apr 2022,"1 Apr - 12 Apr 2022 | Online Auction 20675
European Art"
Eliot Hodgkin ,1905,1987,Walnuts,2,"GBP 7,000 – GBP 10,000","GBP 11,250",(6.1 x 24.1 cm.),15 Jul 2015,"2015 | LIVE AUCTION 10444
MODERN BRITISH & IRISH ART"
